公司代號,公司名稱,稅後淨利
1907,永豐餘投資控股股份有限公司,171833
1906,寶隆國際股份有限公司,27138
1905,中華紙漿股份有限公司,11677
6790,永豐餘消費品實業股份有限公司,179900
1903,士林紙業股份有限公司,97871
2008,高興昌鋼鐵股份有限公司,613576
3004,豐達科技股份有限公司(原宏達),50070
5007,三星科技股份有限公司,207480
2015,豐興鋼鐵股份有限公司,417314
2013,中國鋼鐵結構股份有限公司,137493
2029,盛餘股份有限公司,189748
2034,允強實業股份有限公司,196540
9958,世紀鋼鐵結構股份有限公司,73852
2031,新光鋼鐵股份有限公司,142168
2006,東和鋼鐵企業股份有限公司,509193
2022,聚亨企業股份有限公司,235888
2020,美亞鋼管廠股份有限公司,86016
2014,中鴻鋼鐵股份有限公司,405851
2002,中國鋼鐵股份有限公司,4877566
2023,燁輝企業股份有限公司,316384
2032,新鋼工業股份有限公司,25802
2027,大成不銹鋼工業股份有限公司,126821
2010,春源鋼鐵工業股份有限公司,95828
2012,春雨工廠股份有限公司,51624
2030,彰源企業股份有限公司,35340
2017,官田鋼鐵股份有限公司,57516
2024,志聯工業股份有限公司,7589
2038,海光企業股份有限公司,11978
2009,第一伸銅科技股份有限公司,17675
2033,佳大世界股份有限公司,301
5538,開曼東明控股股份有限公司,134079
2025,千興不銹鋼(股)公司,53747
2069,運錩鋼鐵股份有限公司,37699
2028,威致鋼鐵工業股份有限公司,11959
2007,燁興企業股份有限公司,15041
2211,長榮鋼鐵股份有限公司,1310339
2114,鑫永銓股份有限公司,114477
2105,正新橡膠工業股份有限公司,4272521
2106,建大工業股份有限公司,769089
2103,台橡股份有限公司,730497
2107,厚生股份有限公司,241187
2102,泰豐輪胎股份有限公司,186433
2108,南帝化學工業股份有限公司,153571
2104,國際中橡投資控股股份有限公司,200511
2109,華豐橡膠工業股份有限公司,74300
2101,南港輪胎股份有限公司,46825
6582,申豐特用應材股份有限公司,767162
2227,裕隆日產汽車股份有限公司,1280846
2207,和泰汽車股份有限公司,2325658
6605,帝寶工業股份有限公司,388898
2233,宇隆科技股份有限公司,56818
2231,為升電裝工業股份有限公司,79178
1339,昭輝實業股份有限公司,70210
2201,裕隆汽車製造股份有限公司,1319163
1338,廣華控股有限公司,51008
1521,大億交通工業製造股份有限公司,54379
1525,江申工業股份有限公司,49001
1536,和大工業股份有限公司,109448
1319,東陽實業廠股份有限公司,334919
1533,車王電子股份有限公司,35597
2204,中華汽車工業股份有限公司,498057
2497,怡利電子工業股份有限公司,38496
1522,堤維西交通工業股份有限公司,126977
1524,耿鼎企業股份有限公司,3825
2206,三陽工業股份有限公司,8630
2228,劍麟股份有限公司,163799
4551,智伸科技股份有限公司,103661
3346,麗清科技股份有限公司,50197
1587,吉茂精密股份有限公司,30634
1568,倉佑實業股份有限公司,21480
6288,聯嘉光電股份有限公司,28691
2115,六暉控股股份有限公司,73300
2236,百達精密工業股份有限公司,265134
4557,永新控股股份有限公司,152238
1592,英瑞國際股份有限公司,397592
2239,開曼英利工業股份有限公司,1141819
2241,艾姆勒車電股份有限公司,15666
2243,宏旭控股股份有限公司,109939
2247,汎德永業汽車股份有限公司,1135655
4581,World Known MFG(Cayman)Limited,110713
2250,第一化成控股(開曼)股份有限公司,118624
2454,聯發科技股份有限公司,3735766
2451,創見資訊股份有限公司,869645
6271,同欣電子工業股份有限公司,325203
3034,聯詠科技股份有限公司,1061336
3189,景碩科技股份有限公司,710718
2330,台灣積體電路製造股份有限公司,39535543
8081,致新科技股份有限公司,124170
2379,瑞昱半導體股份有限公司,730563
8271,宇瞻科技股份有限公司,139158
3257,虹冠電子工業股份有限公司,38581
3054,立萬利創新股份有限公司,83019
2458,義隆電子股份有限公司,376127
6239,力成科技股份有限公司,760538
8016,矽創電子股份有限公司,73636
3443,創意電子股份有限公司,90749
6202,盛群半導體股份有限公司,151125
5471,松翰科技股份有限公司,110986
3588,通嘉科技股份有限公司,29207
3450,聯鈞光電股份有限公司,61359
3006,晶豪科技股份有限公司,155029
3545,敦泰電子股份有限公司,81363
2441,超豐電子股份有限公司,286339
2303,聯華電子股份有限公司,6413694
3035,智原科技股份有限公司,204273
2351,順德工業股份有限公司,96676
3583,辛耘企業股份有限公司,33854
6257,矽格股份有限公司,145353
5269,祥碩科技股份有限公司,23290
4952,凌通科技股份有限公司,36855
4919,新唐科技股份有限公司,65625
2449,京元電子股份有限公司,358499
2436,偉詮電子股份有限公司,43112
3094,聯傑國際股份有限公司,13862
3014,聯陽半導體股份有限公司,32359
2369,菱生精密工業股份有限公司,60351
8131,福懋科技股份有限公司,45489
8110,華東科技股份有限公司,13334
2408,南亞科技股份有限公司,505449
3532,台塑勝高科技股份有限公司,8656
3041,揚智科技股份有限公司,868494
4967,十銓科技股份有限公司,98037
8150,南茂科技股份有限公司,1038800
5285,界霖科技股份有限公司,52282
4961,天鈺科技股份有限公司,46756
4968,立積電子股份有限公司,4097
2401,凌陽科技股份有限公司,104319
2338,台灣光罩股份有限公司,18550
2302,麗正國際科技股份有限公司,1633
2344,華邦電子股份有限公司,78981
6415,矽力杰股份有限公司,347862
3016,嘉晶電子股份有限公司,7909
6451,訊芯科技控股股份有限公司,849538
3661,世芯電子股份有限公司,113124
3413,京鼎精密科技股份有限公司,42871
2434,統懋半導體股份有限公司,320926
2481,強茂股份有限公司,9245
8261,富鼎先進電子股份有限公司,28254
2342,台灣茂矽電子股份有限公司,47437
2329,華泰電子股份有限公司,95971
6525,捷敏股份有限公司,457824
8028,昇陽國際半導體股份有限公司,433043
6552,易華電子股份有限公司,67427
6531,愛普科技股份有限公司,129967
6533,晶心科技股份有限公司,8572
2388,威盛電子股份有限公司,1240085
6573,虹揚發展科技股份有限公司,102075
5222,全訊科技股份有限公司,21607
3530,晶相光電股份有限公司,9962
2363,矽統科技股份有限公司,10263
3536,誠創科技股份有限公司,29040
2337,旺宏電子股份有限公司,202564
6756,威鋒電子股份有限公司,95904
3711,日月光投資控股股份有限公司,14007503
6515,穎崴科技股份有限公司,245352
6243,迅杰科技股份有限公司,13287
2357,華碩電腦股份有限公司,6059660
2362,藍天電腦股份有限公司,1666696
3515,華擎科技股份有限公司,288344
6206,飛捷科技股份有限公司,227619
6230,尼得科超眾科技股份有限公司,145044
2395,研華股份有限公司,866968
8114,振樺電子股份有限公司,87959
6277,宏正自動科技股份有限公司,163519
3416,融程電訊股份有限公司,53487
2382,廣達電腦股份有限公司,4641962
4938,和碩聯合科技股份有限公司,3452992
2376,技嘉科技股份有限公司,607606
3022,威強電工業電腦股份有限公司,283107
4916,事欣科技股份有限公司,53441
2425,承啟科技股份有限公司,78823
3231,緯創資通股份有限公司,1615269
2301,光寶科技股份有限公司,1790907
6128,上福全球科技股份有限公司,63843
8210,勤誠興業股份有限公司,79127
3060,銘異科技股份有限公司,113903
2397,友通資訊股份有限公司,57040
2356,英業達股份有限公司,1604685
2377,微星科技股份有限公司,428094
3057,喬鼎資訊股份有限公司,65979
2387,精元電腦股份有限公司,141930
2399,映泰股份有限公司,56557
2324,仁寶電腦工業股份有限公司,1388433
6166,凌華科技股份有限公司,45297
2331,精英電腦股份有限公司,219037
2353,宏碁股份有限公司,514570
5215,科嘉(開曼)股份有限公司,8655
2442,新美齊股份有限公司,30653
6117,迎廣科技股份有限公司,12467
6235,華孚科技股份有限公司,22233
8163,達方電子股份有限公司,37630
6172,互億科技股份有限公司,5811
3005,神基投資控股股份有限公司,99264
3017,奇鋐科技股份有限公司,20199
2365,昆盈企業股份有限公司,25244
2405,浩鑫股份有限公司,23819
3002,歐格電子股份有限公司,2549
6414,樺漢科技股份有限公司,186948
2424,隴華電子股份有限公司,28421
5258,虹堡科技股份有限公司,30416
3013,晟銘電子科技股份有限公司,9085
2352,佳世達科技股份有限公司,22990
3706,神達投資控股股份有限公司,75742
3494,誠研科技股份有限公司,18744
9912,偉聯科技股份有限公司,4206
2305,全友電腦股份有限公司,3621
2465,麗臺科技股份有限公司,162232
3701,大眾全球投資控股股份有限公司,1927
6591,動力科技股份有限公司,85183
6669,緯穎科技服務股份有限公司,273371
6579,研揚科技股份有限公司,343453
2364,倫飛電腦實業股份有限公司,589
2417,圓剛科技股份有限公司,27399
3046,建碁股份有限公司,3083
3712,永崴投資控股股份有限公司,179775
3673,"TPK Holding Co., Ltd.",4769579
3008,大立光電股份有限公司,1849221
6176,瑞儀光電股份有限公司,1295847
3454,晶睿通訊股份有限公司,194133
3356,奇偶科技股份有限公司,140511
3563,牧德科技股份有限公司,50504
6278,台灣表面黏著科技股份有限公司,439265
3622,洋華光電股份有限公司,175199
5234,達興材料股份有限公司,104189
4960,誠美材料科技股份有限公司,446179
4942,嘉彰股份有限公司,121361
3051,力特光電科技股份有限公司,205777
3504,揚明光學股份有限公司,69327
3019,亞洲光學股份有限公司,123979
2393,億光電子工業股份有限公司,224316
8215,明基材料股份有限公司,166226
6116,瀚宇彩晶股份有限公司,1314613
4935,茂林光電科技(開曼)股份有限公司,58326
3149,正達國際光電股份有限公司,82066
2489,瑞軒科技股份有限公司,247922
4976,佳凌科技股份有限公司,29202
6164,華興電子工業股份有限公司,28150
2486,一詮精密工業股份有限公司,42197
2374,佳能企業股份有限公司,75307
3481,群創光電股份有限公司,1682830
2466,冠西電子企業股份有限公司,23714
2340,光磊科技股份有限公司,94383
2429,銘旺科技股份有限公司,2911
4956,光鋐科技股份有限公司,8216
3049,和鑫光電股份有限公司,70454
3050,鈺德科技股份有限公司,12265
6209,今國光學工業股份有限公司,8859
3038,全台晶像股份有限公司,4555
5484,慧友電子股份有限公司,970
6405,悅城科技股份有限公司,166423
