company_name_1,company_name_2,person_name,position
興業銀行,興業銀行,None,None
中國民生銀行,中國民生銀行,None,None
新華人壽保險,新華人壽保險,None,None
北京汽車,北京汽車,None,None
萬洲國際,萬洲國際,None,None
中國南方航空,中國南方航空,None,None
中國國際航空,中國國際航空,None,None
中國航油,中國航油,None,None
比亞迪,比亞迪,None,None
安徽海螺水泥,安徽海螺水泥,None,None
融創中國控股,融創中國控股,None,None
華潤置地,華潤置地,None,None
河鋼,河鋼,None,None
中遠海運控股,中遠海運控股,None,None
中國再保險,中國再保險,None,None
龍湖,龍湖,None,None
中國東方航空,中國東方航空,None,None
TCL,TCL,None,None
中國光大銀行,中國光大銀行,None,None
復星國際,大连通信开发股份有限公司,"重庆市烟草公司北碚区分公司,福建华伦集团公司,中国铁路工程发包公司,中谷粮油集团公司,山西三维集团股份有限公司,深圳市宝恒集团股份有限公司,福建省五金矿产进出口公司,李晓鹏,张金良,高云龙,冯仑,霍霭玲,乔志敏,王立国,谢荣,徐洪才,蔡允革,杜翔,吴杨成,崔雄杰,张轩铭,陈超,焦燕,左露,于佳,王丽,吉媛媛","董事长,总经理,副董事长,独立董事,独立董事,独立董事,独立董事,独立董事,独立董事,董事"
中升,唐宪峰,"杜青山,黄毅,于宁","经理,董事长,董事,董事,监事"
中國華融資產管理,中国人寿保险(集团)公司,"王占峰,李欣,陈远玲,邵景春,謝孝衍,朱宁,王文杰,许诺,赵江平,郑江平,李有根,万映红,单东辉,刘富敏,李德庆,闵乙铎,赵群,柳庆红,解瑶琛,高翱","董事长,总经理,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,董事"
中國信達資產管理,张子艾,"孙宝文,朱武祥,何杰平,林志权,刘冲,陆正飞,王绍双,徐珑,张国清,武泽平,陈义斌,张江雪,徐曙斌,樊志江,毕进宇,杨景,李宏胜,李洲,吴斌","董事长,独立董事,独立董事,董事,董事,董事,董事,董事,董事,董事"
吉利汽車控股,吉利汽車控股,None,None
中國通信服務,中国电信集团公司,"广东省电信实业集团公司,浙江省电信实业集团公司,张志勇,刘林飞,吕廷杰,吴太石,萧伟强,高同庆,黄晓庆,买彦州,张煦,夏江华","董事长,独立董事,独立董事,独立董事,独立董事,董事,经理,董事,董事,董事,监事会主席"
紫金礦業,闽西兴杭国有资产投资经营有限公司,"新华都实业集团股份有限公司,厦门恒兴集团有限公司,上杭县金山贸易有限公司,福建省闽西地质大队,福建省新华都工程有限责任公司,陈景河,邹来昌,蓝福生,薄少川,何福龙,李常青,李建,林泓富,林红英,毛景文,杨泽军,郑友诚,杨庶,康旭,傅飞龙,王建华,张锦章,游新连,王乾坤,刘亚建","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,董事,董事"
崑崙能源,孔昭东,"赵志勇,郭健,孔昭东,郭健","执行董事,经理,监事"
鞍鋼,国务院国有资产监督管理委员会,"谭成旭,戴志浩,刁钦义,顾惠忠,栗宝卿,李连华,刘杰,燕桦,张国发,李继平,林垚,张万斌,杨建伟,路景宏,李学佳,聂振勇","董事长,董事兼总经理,董事,董事,董事,董事,董事,董事,董事,监事会主席"
